,date,open,high,low,close,volume,ma5,ma10,ma30,ma60,ma120,ha_open,ha_close,ha_high,ha_low,cci,dc_upper,dc_lower,dc_middle,dc_middle1,dc_middle2,lb,dc_dump_pct,dc_lower_diff,down_count,up_count,lt_middle_count,gt_middle_count,lt_cci,enter_tag,enter_long,enter_short
31,2024-05-01 19:00:00+08:00,57760.0,57912.0,57466.0,57886.7,5858.542,56991.5,58408.81,59931.78666666667,,,57550.4146084425,57756.175,57912.0,57466.0,-81.02613344876558,61074.3,56528.8,58801.55,59937.925,57665.175,937.1999999999971,0.07442574045056595,0.0,14.0,1.0,13.0,0.0,2.0,,1,0
37,2024-05-02 01:00:00+08:00,57045.6,57751.8,56617.1,57439.9,9950.384,56869.02,56997.86,58930.603333333325,,,57187.819368881916,57213.6,57751.8,56617.1,-55.50185199935796,61074.3,56528.8,58801.55,59937.925,57665.175,88.29999999999563,0.07442574045056595,0.0,13.0,2.0,19.0,0.0,0.0,,1,0
50,2024-05-02 14:00:00+08:00,57484.2,57735.9,57411.6,57629.9,3064.04,57283.54,57389.240000000005,57695.920000000006,,,57443.54768302843,57565.4,57735.9,57411.6,-17.38559178128766,59500.0,56617.1,58058.55,58779.275,57337.825,794.5,0.04845210084033616,0.0,10.0,1.0,20.0,0.0,0.0,,1,0
160,2024-05-07 04:00:00+08:00,63231.8,63421.5,63057.7,63309.1,2499.817,62947.72000000001,63162.19,63709.61,63567.943333333336,61622.49166666667,63247.85572831528,63255.025,63421.5,63057.7,-70.2416159005242,65534.9,62685.0,64109.95,64822.425,63397.475,372.6999999999971,0.043486752859926564,0.0,12.0,1.0,12.0,8.0,0.0,,1,0
190,2024-05-08 10:00:00+08:00,62524.2,62857.1,62524.1,62755.7,2481.144,62405.31999999999,62681.719999999994,63134.206666666665,63421.90833333333,62868.971666666665,62591.566368998385,62665.274999999994,62857.1,62524.1,-71.70901935464309,64418.8,62100.5,63259.65,63839.225000000006,62680.075,423.59999999999854,0.03598794140840877,0.0,13.0,1.0,11.0,9.0,1.0,,1,0
198,2024-05-08 18:00:00+08:00,62308.2,62531.5,62259.5,62442.2,3005.325,62113.31999999999,62282.18999999999,62869.633333333324,63206.130000000005,63068.191666666666,62330.98297409765,62385.350000000006,62531.5,62259.5,-55.93020632561982,64331.0,62033.2,63182.1,63756.55,62607.649999999994,226.3000000000029,0.03571839393138616,0.0,16.0,1.0,18.0,2.0,0.0,,1,0
202,2024-05-08 22:00:00+08:00,62458.4,62859.3,62161.1,62569.3,8080.731,62085.48,62110.25,62683.89333333333,63080.48666666667,63138.525,62273.6239358811,62512.02500000001,62859.3,62161.1,31.0499179386496,63393.52023179301,61790.0,62591.760115896504,62992.64017384476,62190.88005794825,371.09999999999854,0.02529470245428671,0.0,16.0,2.0,20.0,0.0,0.0,,1,0
213,2024-05-09 09:00:00+08:00,61405.2,61575.0,61384.7,61561.9,2093.114,61171.08,61599.759999999995,62054.67333333333,62646.10833333333,63095.39000000001,61343.59414010541,61481.7,61575.0,61343.59414010541,-66.288153005013,62859.3,60892.4,61875.850000000006,62367.575000000004,61384.125,451.1941401054064,0.03129051707543675,0.0,15.0,1.0,18.0,2.0,2.0,,1,0
224,2024-05-09 20:00:00+08:00,61070.4,61637.8,61035.9,61515.0,6350.454,60898.8,61146.219999999994,61580.66333333333,62301.49166666667,62928.34416666666,61054.41103229497,61314.775,61637.8,61035.9,8.493108968424364,62768.0,60630.6,61699.3,62233.65,61164.95,405.3000000000029,0.034052383380066296,0.0,12.0,1.0,18.0,2.0,1.0,,1,0
258,2024-05-11 06:00:00+08:00,60724.3,60932.6,60597.3,60846.8,1835.653,60459.42,60686.280000000006,61970.64,61723.42833333333,62464.77916666667,60665.39489591649,60775.25,60932.6,60597.3,-53.68627993189542,63475.0,60161.2,61818.1,62646.55,60989.649999999994,436.1000000000058,0.05220638046474995,0.0,13.0,1.0,9.0,11.0,0.0,,1,0
314,2024-05-13 14:00:00+08:00,60875.1,61567.0,60803.5,61516.8,5929.397,60837.159999999996,61020.4,61022.043333333335,60887.981666666674,61358.683333333334,61019.078310326426,61190.600000000006,61567.0,60803.5,7.089405443382043,61874.3,60756.0,61315.15,61594.725000000006,61035.575,47.5,0.018073739824127348,0.0,8.0,1.0,6.0,14.0,1.0,,1,0
346,2024-05-14 22:00:00+08:00,61698.0,62318.9,61103.8,61799.4,19972.03,61374.18000000001,61606.41000000001,62300.58666666667,61696.81166666667,61553.57166666666,61708.54560555608,61730.025,62318.9,61103.8,-64.51116159354592,63197.9,61103.8,62150.850000000006,62674.375,61627.325000000004,0.0,0.03313559469539334,-19.19999999999709,15.0,1.0,11.0,9.0,0.0,,1,0
351,2024-05-15 03:00:00+08:00,61430.7,61672.6,61390.2,61581.3,3078.693,61327.5,61350.83999999999,62098.49,61736.181666666664,61533.09083333333,61434.32095642363,61518.7,61672.6,61390.2,-60.73768144062957,63120.0,61103.8,62111.9,62615.95,61607.850000000006,286.3999999999942,0.031942332065906166,0.0,15.0,3.0,16.0,4.0,0.0,,1,0
399,2024-05-17 03:00:00+08:00,65122.9,65581.0,65088.2,65180.1,4077.191,64998.86,65431.490000000005,65488.41,63598.21666666667,62608.90083333333,65202.562345435785,65243.049999999996,65581.0,65088.2,-93.58837113102362,66799.0,64600.0,65699.5,66249.25,65149.75,488.1999999999971,0.0329196544858456,0.0,12.0,1.0,5.0,15.0,2.0,,1,0
474,2024-05-20 06:00:00+08:00,66292.5,66463.9,66250.0,66359.1,1551.743,66133.5,66396.89,66743.61666666667,66698.91333333333,65652.86166666666,66260.93398658733,66341.375,66463.9,66250.0,-80.64648357439386,67794.0,65887.0,66840.5,67317.25,66363.75,363.0,0.028129332979319705,0.0,13.0,1.0,12.0,8.0,2.0,,1,0
521,2024-05-22 05:00:00+08:00,69720.7,69823.8,69468.1,69736.4,1151.889,69399.22,69813.12999999999,69972.45333333334,68270.045,67375.86666666667,69621.76785810519,69687.25,69823.8,69468.1,-74.58316305155338,71455.0,69180.0,70317.5,70886.25,69748.75,288.1000000000058,0.031838219858652296,0.0,13.0,1.0,7.0,13.0,0.0,,1,0
530,2024-05-22 14:00:00+08:00,69939.6,70106.0,69816.2,69895.6,1777.101,69671.3,69768.4,70219.16666666667,68729.09166666666,67714.8075,69825.43987862911,69939.35,70106.0,69816.2,19.60213606283949,71455.0,69180.0,70317.5,70886.25,69748.75,636.1999999999971,0.031838219858652296,0.0,11.0,3.0,16.0,4.0,0.0,,1,0
538,2024-05-22 22:00:00+08:00,69599.9,70190.8,69457.7,70118.2,7624.019,69618.45999999999,69657.9,69880.61,69198.12333333334,67955.94166666667,69765.5718354634,69841.65000000001,70190.8,69457.7,7.990205786510682,70386.0,69180.0,69783.0,70084.5,69481.5,277.6999999999971,0.01713408916545904,0.0,9.0,3.0,17.0,3.0,0.0,,1,0
548,2024-05-23 08:00:00+08:00,69182.1,69649.8,69182.1,69512.7,2910.536,69101.4,69399.26,69576.82333333333,69649.87000000001,68184.5975,69293.08039241745,69381.675,69649.8,69182.1,-61.32168298218248,70691.2,68844.0,69767.6,70229.4,69305.8,338.1000000000058,0.026130550903082663,0.0,12.0,1.0,14.0,6.0,0.0,,1,0
569,2024-05-24 05:00:00+08:00,67817.1,68384.2,67127.1,67988.1,12669.859,66972.6,67461.46,68748.99333333333,69298.62999999999,68479.5075,67413.1270131852,67829.125,68384.2,67127.1,-46.73077160265506,70118.0,66242.5,68180.25,69149.125,67211.375,884.6000000000058,0.05527111440714225,0.0,10.0,1.0,19.0,1.0,0.0,,1,0
581,2024-05-24 17:00:00+08:00,67205.4,67476.8,67041.5,67385.2,3282.631,66883.94,67285.31,67945.20666666667,68761.99166666667,68516.01833333334,67149.05860644853,67277.225,67476.8,67041.5,-57.746240957636616,69177.00768770705,66242.5,67709.75384385353,68443.38076578028,66976.12692192677,799.0,0.04242027496989471,0.0,13.0,1.0,20.0,0.0,0.0,,1,0
644,2024-05-27 08:00:00+08:00,68515.0,68826.6,68475.0,68826.6,1576.478,68432.88,68579.32,68876.94666666667,68732.30333333333,68681.27,68559.54120954106,68660.8,68826.6,68475.0,-48.118883563008545,69580.3,68153.8,68867.05,69223.675,68510.425,321.1999999999971,0.020501492520152972,0.0,13.0,2.0,17.0,3.0,1.0,,1,0
652,2024-05-27 16:00:00+08:00,68655.0,68946.3,68519.0,68627.4,3364.149,68465.18000000001,68575.51000000001,68756.98666666666,68806.66666666667,68608.88166666667,68581.02555159977,68686.92499999999,68946.3,68519.0,-11.291180638299016,69407.9,68153.8,68780.85,69094.375,68467.32500000001,365.1999999999971,0.01806854839290616,0.0,13.0,2.0,15.0,5.0,0.0,,1,0
657,2024-05-27 21:00:00+08:00,68631.6,69057.9,68602.8,68924.0,4626.616,68414.3,68439.73999999999,68663.07,68790.40833333334,68555.38083333333,68529.13126723749,68804.075,69057.9,68529.13126723749,52.96586795065317,69321.7,68153.8,68737.75,69029.725,68445.775,375.33126723748865,0.016847538361003757,0.0,13.0,2.0,15.0,5.0,0.0,,1,0
677,2024-05-28 17:00:00+08:00,68161.0,68533.0,68027.3,68326.2,3850.323,67749.24,68003.75,68655.23666666666,68755.85500000001,68447.8025,67931.37961183192,68261.875,68533.0,67931.37961183192,-36.76184261511677,70740.0,67488.2,69114.1,69927.05,68301.15,443.179611831918,0.04596833474696074,0.0,13.0,1.0,12.0,8.0,0.0,,1,0
687,2024-05-29 03:00:00+08:00,67907.6,68634.0,67893.3,68451.0,4735.958,67652.24,67810.62999999999,68445.53333333334,68554.30166666667,68429.3025,67849.46186973812,68221.475,68634.0,67849.46186973812,66.73029125136644,69600.0,67250.0,68425.0,69012.5,67837.5,599.4618697381229,0.033764367816091954,0.0,15.0,2.0,20.0,0.0,0.0,,1,0
705,2024-05-29 21:00:00+08:00,67913.4,68290.8,67600.2,67904.3,9493.828,67690.28,67985.54000000001,68015.14666666667,68372.475,68567.44333333333,67888.39133124112,67927.175,68290.8,67600.2,-65.56833783079982,68953.6,67250.0,68101.8,68527.70000000001,67675.9,350.1999999999971,0.024706469277891302,0.0,10.0,1.0,9.0,11.0,0.0,,1,0
713,2024-05-30 05:00:00+08:00,67480.0,67872.5,67300.0,67699.8,1679.396,67241.16,67333.73,67845.63333333333,68197.925,68499.02083333333,67405.51705598141,67588.075,67872.5,67300.0,-16.69502836169407,68953.6,67126.7,68040.15,68496.875,67583.42499999999,173.3000000000029,0.026494628271765484,0.0,15.0,1.0,14.0,6.0,0.0,,1,0
759,2024-06-01 03:00:00+08:00,67424.0,68026.2,67354.5,67691.9,5141.824,67106.62,67537.29000000001,68060.28666666667,67814.4,68133.87666666666,67353.21659428073,67624.15,68026.2,67353.21659428073,-33.1183756631799,69062.8,66639.0,67850.9,68456.85,67244.95,714.2165942807333,0.03509559415488516,0.0,13.0,1.0,15.0,5.0,1.0,,1,0
